frame_id,ts_ns,e2e_ms,pre_ms,inf_ms,post_ms,host_overhead_ms,valid,occluded_count,depth_invalid_ratio,constraint_reason,box_conf
4,1776493166502116000,221.052,40.352,10.081,169.437,1.182,1,0,0.0,,0.954
10,1776493166718814000,21.005,0.896,8.866,9.278,1.964,1,0,0.0,,0.957
11,1776493166752112000,25.517,1.827,8.921,13.721,1.048,1,0,0.0,,0.958
12,1776493166785441000,19.514,2.656,10.496,5.375,0.987,1,0,0.0,,0.958
13,1776493166810456000,19.757,0.891,8.819,9.031,1.015,1,0,0.0,,0.957
14,1776493166827136000,18.536,0.893,8.743,7.614,1.286,1,0,0.0,,0.957
15,1776493166852109000,23.689,1.144,8.225,13.394,0.925,1,0,0.0,,0.958
16,1776493166877112000,18.759,1.198,8.705,6.873,1.984,1,0,0.0,,0.958
17,1776493166902128000,19.783,1.28,8.871,9.04,0.592,1,0,0.0,,0.959
18,1776493166918817000,17.492,1.153,8.726,6.889,0.724,1,0,0.0,,0.957
19,1776493166935443000,19.967,1.257,8.857,8.983,0.871,1,0,0.0,,0.957
20,1776493166960461000,19.89,1.157,8.725,9.598,0.41,1,0,0.0,,0.956
21,1776493166977111000,23.67,1.249,8.878,13.129,0.413,1,0,0.0,,0.957
22,1776493167002135000,21.648,3.057,10.65,6.256,1.685,1,0,0.0,,0.958
23,1776493167018777000,22.64,1.727,11.354,5.426,4.132,1,0,0.0,,0.957
24,1776493167035441000,20.176,1.734,10.578,7.082,0.782,1,0,0.0,,0.957
25,1776493167060442000,19.658,1.952,10.543,6.527,0.635,1,0,0.0,,0.957
26,1776493167085446000,23.413,2.043,10.475,10.392,0.504,1,0,0.0,,0.959
27,1776493167110434000,18.862,1.362,10.415,6.651,0.434,1,0,0.0,,0.957
28,1776493167127107000,20.594,1.721,8.695,9.311,0.867,1,0,0.0,,0.958
29,1776493167152111000,18.585,1.157,8.798,7.754,0.876,1,0,0.0,,0.957
30,1776493167185431000,19.695,1.385,9.574,7.678,1.058,1,0,0.0,,0.956
31,1776493167202134000,17.466,1.157,8.602,7.216,0.49,1,0,0.0,,0.958
32,1776493167227098000,19.207,1.224,8.929,8.505,0.549,1,0,0.0,,0.957
33,1776493167243776000,18.688,1.343,8.912,7.598,0.834,1,0,0.0,,0.957
34,1776493167260445000,19.447,1.188,8.29,9.416,0.553,1,0,0.0,,0.957
35,1776493167285453000,17.175,1.26,8.416,6.96,0.539,1,0,0.0,,0.957
36,1776493167310473000,20.123,2.054,8.723,8.367,0.979,1,0,0.0,,0.958
36,1776493167310473000,20.363,1.553,12.024,6.258,0.528,1,0,0.0,,0.958
37,1776493167327106000,18.633,1.354,10.166,6.555,0.559,1,0,0.0,,0.957
38,1776493167352110000,19.15,1.548,8.56,7.391,1.651,1,0,0.0,,0.958
39,1776493167377110000,21.047,1.41,9.516,9.079,1.042,1,0,0.0,,0.957
40,1776493167410470000,22.444,2.358,9.202,9.463,1.422,1,0,0.0,,0.956
41,1776493167427109000,19.238,1.291,8.923,6.909,2.115,1,0,0.0,,0.956
42,1776493167452116000,19.082,1.197,8.732,8.376,0.776,1,0,0.0,,0.958
43,1776493167477143000,18.586,1.353,9.182,7.167,0.884,1,0,0.0,,0.958
44,1776493167493774000,17.387,1.145,8.23,7.501,0.51,1,0,0.0,,0.957
45,1776493167518777000,16.857,1.202,9.82,5.402,0.433,1,0,0.0,,0.958
45,1776493167518777000,19.283,1.367,8.561,7.911,1.445,1,0,0.0,,0.958
46,1776493167535445000,18.346,1.278,8.829,7.333,0.905,1,0,0.0,,0.958
