frame_id,ts_ns,e2e_ms,pre_ms,inf_ms,post_ms,host_overhead_ms,valid,occluded_count,depth_invalid_ratio,constraint_reason,box_conf
5,1776496368732676000,310.094,56.426,11.586,241.027,1.055,1,0,0.0,,0.954
15,1776496369049348000,23.319,1.086,10.082,9.921,2.23,1,0,0.0,,0.955
16,1776496369082711000,23.358,1.336,9.897,11.407,0.718,1,0,0.0,,0.955
17,1776496369099372000,17.129,1.15,9.96,5.128,0.893,1,0,0.0,,0.954
17,1776496369099372000,19.858,1.31,10.418,7.482,0.648,1,0,0.0,,0.954
18,1776496369132741000,21.452,1.539,10.719,6.825,2.368,1,0,0.0,,0.953
20,1776496369174344000,22.547,1.005,10.935,8.475,2.132,1,0,0.0,,0.952
21,1776496369199342000,16.953,1.097,10.258,4.901,0.697,1,0,0.0,,0.956
21,1776496369199342000,22.127,2.89,9.994,5.716,3.527,1,0,0.0,,0.956
22,1776496369224337000,19.932,1.069,10.573,7.587,0.702,1,0,0.0,,0.955
23,1776496369241019000,18.801,1.513,10.556,5.973,0.759,1,0,0.0,,0.954
24,1776496369274341000,20.796,1.554,10.409,7.385,1.448,1,0,0.0,,0.954
25,1776496369291009000,20.61,1.953,11.391,5.696,1.57,1,0,0.0,,0.953
26,1776496369316033000,22.785,2.029,10.801,8.109,1.846,1,0,0.0,,0.955
28,1776496369357679000,17.79,1.22,10.27,5.317,0.983,1,0,0.0,,0.954
28,1776496369357679000,22.109,1.754,10.467,8.004,1.884,1,0,0.0,,0.954
29,1776496369374355000,19.744,1.698,11.991,5.43,0.624,1,0,0.0,,0.953
30,1776496369399350000,19.841,0.962,9.001,9.44,0.438,1,0,0.0,,0.954
31,1776496369424350000,18.217,1.069,10.351,6.181,0.616,1,0,0.0,,0.955
31,1776496369424350000,18.589,1.049,9.654,7.156,0.73,1,0,0.0,,0.955
32,1776496369457968000,16.325,0.968,8.348,6.574,0.435,1,0,0.0,,0.955
33,1776496369499339000,18.349,1.352,8.596,7.804,0.597,1,0,0.0,,0.954
34,1776496369516044000,25.12,0.958,10.621,12.658,0.884,1,0,0.0,,0.955
35,1776496369541037000,20.519,0.894,10.685,5.527,3.415,1,0,0.0,,0.955
36,1776496369566004000,21.822,1.157,10.415,9.324,0.927,1,0,0.0,,0.956
37,1776496369591009000,17.604,1.016,10.597,5.228,0.763,1,0,0.0,,0.954
37,1776496369591009000,19.679,1.514,10.527,7.216,0.422,1,0,0.0,,0.954
38,1776496369616050000,17.648,0.912,8.906,6.94,0.889,1,0,0.0,,0.949
39,1776496369641003000,18.757,0.937,8.825,8.317,0.679,1,0,0.0,,0.953
40,1776496369666032000,16.708,0.93,8.429,6.899,0.45,1,0,0.0,,0.953
