time_s,gait_phase,knee_L_meas,knee_R_meas,hip_L_meas,hip_R_meas,knee_L_ref,knee_R_ref,hip_L_ref,hip_R_ref,F_imp_L,F_imp_R,F_ilc_L,F_ilc_R,F_total_L,F_total_R,teensy_phase,teensy_fL,teensy_fR,hs_L,hs_R,shm_valid
8122.9123,0.0000,162497656775683591897088.00,-0.00,0.00,2.28,0.00,0.00,0.00,3825920.25,0.00,18070119295871625461760.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8122.9124,0.0000,162497656775683591897088.00,-0.00,0.00,2.28,0.00,0.00,0.00,3825920.25,0.00,18070119295871625461760.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8122.9223,0.0000,162497656775683591897088.00,-0.00,0.00,2.28,0.00,0.00,0.00,3825920.25,0.00,18070119295871625461760.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8122.9323,0.0000,175.50,176.67,97.22,83.07,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8122.9423,0.0000,175.50,176.67,97.22,83.07,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8122.9523,0.0000,175.50,176.67,97.22,83.07,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8122.9629,0.0000,174.04,176.78,97.26,82.99,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8122.9723,0.0000,174.04,176.78,97.26,82.99,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8122.9823,0.0000,173.89,176.76,97.11,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8122.9924,0.0000,174.57,177.00,96.54,83.35,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.0023,0.0000,174.57,177.00,96.54,83.35,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.0123,0.0000,174.57,177.00,96.54,83.35,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.0223,0.0000,174.97,176.23,97.75,82.55,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.0323,0.0000,174.97,176.23,97.75,82.55,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.0423,0.0000,175.44,176.81,97.11,83.27,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.0523,0.0000,174.77,176.84,96.95,83.33,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.0623,0.0000,174.77,176.84,96.95,83.33,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.0723,0.0000,175.55,176.82,97.58,82.67,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.0823,0.0000,175.00,176.99,96.91,82.83,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.0923,0.0000,175.00,176.99,96.91,82.83,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.1023,0.0000,175.62,176.71,97.29,83.20,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.1123,0.0000,175.57,176.73,97.25,83.12,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.1223,0.0000,174.57,177.49,97.20,83.07,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.1323,0.0000,174.57,177.49,97.20,83.07,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.1423,0.0000,174.66,177.48,97.36,82.95,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.1523,0.0000,173.98,176.50,97.35,83.03,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.1623,0.0000,173.98,176.50,97.35,83.03,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.1723,0.0000,174.18,177.21,97.55,82.91,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.1823,0.0000,174.18,177.21,97.55,82.91,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.1923,0.0000,174.18,177.21,97.55,82.91,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.2023,0.0000,174.18,177.21,97.55,82.91,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.2123,0.0000,175.72,175.97,97.83,82.76,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.2223,0.0000,173.91,176.73,96.76,83.74,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.2323,0.0000,173.86,176.76,96.80,83.71,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.2423,0.0000,173.86,176.76,96.80,83.71,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.2523,0.0000,173.73,176.29,97.23,83.11,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.2623,0.0000,174.64,176.80,96.70,83.19,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.2723,0.0000,174.64,176.80,96.70,83.19,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.2823,0.0000,174.29,176.69,97.16,83.03,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.2923,0.0000,174.12,176.73,97.09,83.02,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.3023,0.0000,174.12,176.73,97.09,83.02,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3123,0.0000,174.12,176.73,97.09,83.02,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3223,0.0000,174.12,176.73,97.09,83.02,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3323,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.3423,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3524,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3631,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3723,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3823,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
