frame_id,ts_ns,e2e_ms,pre_ms,inf_ms,post_ms,host_overhead_ms,valid,occluded_count,depth_invalid_ratio,constraint_reason,box_conf
15,1776747558021470000,289.64,38.906,11.137,238.47,1.126,1,0,0.0,,0.824
27,1776747558313157000,17.672,1.178,10.501,4.975,1.019,1,0,0.148,,0.608
27,1776747558313157000,19.589,1.494,11.633,5.607,0.855,1,0,0.148,,0.608
28,1776747558338166000,18.793,1.491,11.661,5.199,0.442,1,0,0.111,,0.955
29,1776747558363155000,18.951,1.503,11.907,5.011,0.53,1,0,0.0,,0.675
30,1776747558379821000,18.606,1.606,10.78,5.514,0.707,1,0,0.167,,0.815
31,1776747558396488000,18.511,2.05,10.776,4.812,0.873,1,0,0.056,,0.831
32,1776747558422704000,17.547,0.947,9.163,4.948,2.489,1,0,0.056,,0.831
33,1776747558446490000,16.949,0.939,8.905,5.75,1.355,1,0,0.0,,0.855
34,1776747558471516000,18.706,1.394,9.101,5.773,2.438,1,0,0.0,,0.68
35,1776747558479814000,18.993,1.701,8.92,7.176,1.195,1,0,0.0,,0.895
36,1776747558496493000,19.294,0.963,8.992,6.211,3.127,1,0,0.0,,0.894
37,1776747558506244000,19.053,1.879,9.301,6.742,1.131,1,0,0.167,,0.395
38,1776747558525861000,18.619,0.902,8.805,6.097,2.815,1,0,0.0,,0.493
39,1776747558571496000,18.729,1.245,9.409,5.901,2.174,1,0,0.0,,0.892
40,1776747558588178000,18.919,0.897,9.235,7.041,1.747,1,0,0.0,,0.896
41,1776747558621491000,18.551,1.366,9.145,6.043,1.997,1,0,0.0,,0.698
42,1776747558638155000,18.003,0.892,8.863,6.719,1.53,1,0,0.0,,0.78
43,1776747558655164000,18.539,1.124,8.932,6.214,2.27,1,0,0.0,,0.612
44,1776747558679839000,17.945,1.115,8.857,6.574,1.399,1,0,0.0,,0.476
45,1776747558696495000,18.579,1.829,9.248,5.669,1.833,1,0,0.0,,0.476
46,1776747558721496000,17.411,1.29,8.945,5.899,1.277,1,0,0.0,,0.442
47,1776747558740025000,18.439,1.483,9.181,6.239,1.536,1,0,0.0,,0.922
48,1776747558763160000,19.349,1.306,10.275,6.402,1.365,1,0,0.0,,0.537
49,1776747558779836000,17.61,1.41,9.499,6.112,0.589,1,0,0.148,,0.962
50,1776747558796510000,19.55,1.868,9.084,6.906,1.693,1,0,0.0,,0.607
51,1776747558821528000,21.073,1.395,9.91,6.248,3.519,1,0,0.111,,0.831
52,1776747558846500000,26.17,0.885,10.292,8.605,6.388,1,0,0.037,,0.763
53,1776747558863160000,23.362,1.693,13.459,6.051,2.158,1,0,0.167,,0.773
54,1776747558888170000,42.506,1.481,0.304,5.409,35.312,1,0,0.0,,0.911
56,1776747558938188000,19.281,10.954,0.003,7.114,1.211,1,0,0.148,,0.911
56,1776747558938188000,12.688,3.743,0.002,4.779,4.164,1,2,0.148,,0.911
57,1776747558954856000,13.597,5.135,0.004,7.206,1.251,1,0,1.0,,0.815
58,1776747558988218000,18.292,1.322,0.005,6.612,10.354,1,0,0.111,,0.815
58,1776747558988218000,12.264,5.396,0.002,4.699,2.167,1,0,0.111,,0.815
